problema;num_maquina;num_jobs;modelo;lb_cmax;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_nodes_processed;nb_linear_nonzeros;status;time;fl_inteiro
ID006_M015_J015;15;15;minla_fav;1243,0;10110;1801;;1243,0;1175;False;;2163;0;29445;optimal;0,07442808151245117;False
ID006_M015_J015;15;15;manne;0,0;3375;1801;;935,0;1134;False;;1133;0;9900;optimal;0,026379108428955078;False
ID006_M015_J015;15;15;manne;1243,0;3375;1801;;1243,0;1134;False;;1133;0;9900;optimal;0,02112293243408203;False
ID006_M015_J015;15;15;liao;0,0;1800;3376;;935,0;1787;False;;341;0;6750;optimal;0,00749516487121582;False
ID006_M015_J015;15;15;liao;1243,0;1800;3376;;1243,0;1787;False;;344;0;6750;optimal;0,00751805305480957;False
ID006_M015_J015;15;15;liao_desig;0,0;8535;3376;;979,4327546182902;2663;False;;2836;0;26295;optimal;0,09363794326782227;False
ID006_M015_J015;15;15;liao_desig;1243,0;8535;3376;;1243,0;2615;False;;2264;0;26295;optimal;0,09227609634399414;False
ID007_M015_J015;15;15;minla_fav;0,0;10110;1801;1180,901515151515;1181,0;1033;False;8,339106560963416e-05;1014219;14825;29445;integer optimal, tolerance;60,29037094116211;True
ID007_M015_J015;15;15;minla_fav;1181,0;10110;1801;1181,0;1181,0;1030;False;0,0;1155325;25230;29445;integer optimal solution;65,34268498420715;True
ID007_M015_J015;15;15;manne;0,0;3375;1801;1181,0;1181,0;1039;False;0,0;1524290;35633;9900;integer optimal solution;51,51949191093445;True
ID007_M015_J015;15;15;manne;1181,0;3375;1801;1181,0;1181,0;1036;False;0,0;1200494;46458;9900;integer optimal solution;51,634949922561646;True
ID007_M015_J015;15;15;liao;0,0;1800;3376;1180,8888888888328;1181,0;2557;False;9,408222791468055e-05;8469206;41638;6750;integer optimal, tolerance;251,97474718093872;True
ID007_M015_J015;15;15;liao;1181,0;1800;3376;1181,0000000000007;1181,0000000000007;2552;False;0,0;28770476;87001;6750;integer optimal solution;1021,3087639808655;True
ID007_M015_J015;15;15;liao_desig;0,0;8535;3376;1181,0;1181,0;2564;False;0,0;4637060;21005;26295;integer optimal solution;222,4928741455078;True
ID007_M015_J015;15;15;liao_desig;1181,0;8535;3376;1181,0;1181,0;2563;False;0,0;5058090;27579;26295;integer optimal solution;221,0535979270935;True
ID007_M015_J015;15;15;minla_fav;0,0;10110;1801;;963,0;1122;False;;2744;0;29445;optimal;0,08006596565246582;False
ID007_M015_J015;15;15;minla_fav;1181,0;10110;1801;;1181,0;1043;False;;2134;0;29445;optimal;0,06187701225280762;False
ID007_M015_J015;15;15;manne;0,0;3375;1801;;963,0;967;False;;966;0;9900;optimal;0,01665806770324707;False
ID007_M015_J015;15;15;manne;1181,0;3375;1801;;1181,0;967;False;;966;0;9900;optimal;0,016650915145874023;False
ID007_M015_J015;15;15;liao;0,0;1800;3376;;963,0;1787;False;;330;0;6750;optimal;0,007596015930175781;False
ID007_M015_J015;15;15;liao;1181,0;1800;3376;;1181,0;1788;False;;329;0;6750;optimal;0,007545948028564453;False
ID007_M015_J015;15;15;liao_desig;0,0;8535;3376;;963,0;2679;False;;2551;0;26295;optimal;0,07816386222839355;False
ID007_M015_J015;15;15;liao_desig;1181,0;8535;3376;;1181,0;2534;False;;2063;0;26295;optimal;0,05987191200256348;False
ID009_M015_J015;15;15;minla_fav;0,0;10110;1801;1206,0;1206,0;1056;False;0,0;16359632;89027;29445;integer optimal solution;626,7220258712769;True
ID009_M015_J015;15;15;minla_fav;1206,0;10110;1801;1206,0;1206,0;1049;False;0,0;2084191;44800;29445;integer optimal solution;129,0505940914154;True
ID009_M015_J015;15;15;manne;0,0;3375;1801;1110,9677311168696;1205,9999999999995;1054;True;0,07879955960457888;312300349;1285407;9900;time limit exceeded;7200,007378101349;True
ID009_M015_J015;15;15;manne;1206,0;3375;1801;1206,0;1206,0;1045;False;0,0;43463637;483347;9900;integer optimal solution;816,7923028469086;True
ID009_M015_J015;15;15;liao;0,0;1800;3376;1039,9999999999982;1239,9999999949978;2589;True;0,1612903225772502;187970843;206415;6750;time limit exceeded;7200,0158858299255;True
ID009_M015_J015;15;15;liao;1206,0;1800;3376;1206,0000000000007;1228,0;2556;True;0,017915309446252057;245880670;1697177;6750;time limit exceeded;7200,109447002411;True
ID009_M015_J015;15;15;liao_desig;0,0;8535;3376;1205,8916408668788;1205,9999998391004;2578;False;8,984989405973678e-05;65195880;239298;26295;integer optimal, tolerance;2488,6301159858704;True
ID009_M015_J015;15;15;liao_desig;1206,0;8535;3376;1206,0;1206,0;2588;False;0,0;62735644;158010;26295;integer optimal solution;4636,670689105988;True
ID009_M015_J015;15;15;minla_fav;0,0;10110;1801;;988,8829191933197;1153;False;;3273;0;29445;optimal;0,0959169864654541;False
ID009_M015_J015;15;15;minla_fav;1206,0;10110;1801;;1206,0;1261;False;;2154;0;29445;optimal;0,07988405227661133;False
ID009_M015_J015;15;15;manne;0,0;3375;1801;;896,0;1108;False;;1107;0;9900;optimal;0,020186185836791992;False
ID009_M015_J015;15;15;manne;1206,0;3375;1801;;1206,0;1108;False;;1107;0;9900;optimal;0,02133011817932129;False
ID009_M015_J015;15;15;liao;0,0;1800;3376;;896,0;1785;False;;346;0;6750;optimal;0,0074808597564697266;False
ID009_M015_J015;15;15;liao;1206,0;1800;3376;;1206,0;1786;False;;345;0;6750;optimal;0,007791996002197266;False
ID009_M015_J015;15;15;liao_desig;0,0;8535;3376;;988,8829191933197;2691;False;;2907;0;26295;optimal;0,0828099250793457;False
ID009_M015_J015;15;15;liao_desig;1206,0;8535;3376;;1206,0;2621;False;;1961;0;26295;optimal;0,0790400505065918;False
