problema;  modelo;  lb_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID003_M015_J015; manne; 0; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 0; 9900; optimal; 0.019744157791137695; False;  
ID003_M015_J015; manne; 1172.0; 15; 15; False; nan; 1172.0; nan; 3375; 1801; 1053; 1052; 0; 9900; optimal; 0.018776893615722656; False;  
ID003_M015_J015; liao; 0; 15; 15; False; nan; 911.0; nan; 1800; 3376; 1788; 339; 0; 6750; optimal; 0.007566928863525391; False;  
ID003_M015_J015; liao; 1172.0; 15; 15; False; nan; 1172.0; nan; 1800; 3376; 1788; 339; 0; 6750; optimal; 0.007516145706176758; False;  
ID003_M015_J015; liao_desig; 0; 15; 15; False; nan; 911.0; nan; 8535; 3376; 2660; 2237; 0; 26295; optimal; 0.07261490821838379; False;  
ID003_M015_J015; liao_desig; 1172.0; 15; 15; False; nan; 1172.0; nan; 8535; 3376; 2586; 2106; 0; 26295; optimal; 0.11307287216186523; False;  
ID005_M015_J015; minla_fav; 0; 15; 15; True; 1161.929362540009; 1162.0; 6.078955248801194e-05; 10110; 1801; 1013; 57625105; 298407; 29445; integer optimal, tolerance; 1809.9901580810547; False;  
ID005_M015_J015; minla_fav; 1162.0; 15; 15; True; 1162.0; 1162.0; 0.0; 10110; 1801; 1009; 10996393; 108008; 29445; integer optimal solution; 362.6109080314636; False;  
ID005_M015_J015; manne; 0; 15; 15; True; 1161.887752200548; 1162.0; 9.659879470911975e-05; 3375; 1801; 1014; 89597757; 539193; 9900; integer optimal, tolerance; 1571.3684639930725; False;  
ID005_M015_J015; manne; 1162.0; 15; 15; True; 1162.0; 1168.0; 0.005136986301369423; 3375; 1801; 955; 476593252; 3438101; 9900; time limit exceeded; 7200.0086460113525; True;  
ID005_M015_J015; liao; 0; 15; 15; True; 1067.0; 1175.0; 0.09191489361701345; 1800; 3376; 2494; 188964572; 203095; 6750; time limit exceeded; 7200.643151044846; True;  
ID005_M015_J015; liao; 1162.0; 15; 15; True; 1162.000000000001; 1181.0; 0.016088060965281526; 1800; 3376; 2447; 236048557; 2856541; 6750; time limit exceeded; 7200.013417005539; True;  
ID005_M015_J015; liao_desig; 0; 15; 15; True; 1161.8876262675994; 1162.0; 9.670717074057346e-05; 8535; 3376; 2549; 94370283; 268239; 26295; integer optimal, tolerance; 5656.112756967545; False;  
ID005_M015_J015; liao_desig; 1162.0; 15; 15; True; 1162.0; 1167.999999999999; 0.005136986301368648; 8535; 3376; 2481; 105957369; 281900; 26295; time limit exceeded; 7200.011034011841; True;  
ID005_M015_J015; minla_fav; 0; 15; 15; False; nan; 915.057151941249; nan; 10110; 1801; 1145; 3295; 0; 29445; optimal; 0.10491108894348145; False;  
ID005_M015_J015; minla_fav; 1162.0; 15; 15; False; nan; 1162.0; nan; 10110; 1801; 1168; 2412; 0; 29445; optimal; 0.10090303421020508; False;  
